"Name","Version","Vendor","InstallDate"
"Python 3.12.10 Development Libraries (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 Add to Path (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 pip Bootstrap (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 Tcl/Tk Support (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python Launcher","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 Standard Library (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 Documentation (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 Executables (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 Test Suite (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Python 3.12.10 Core Interpreter (64-bit)","3.12.10150.0","Python Software Foundation","20250830"
"Microsoft .NET 8.0 Templates 8.0.413 (x64)","32.13.63773","Microsoft Corporation","20250827"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.3","Microsoft Corporation","20250827"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250907"
"Microsoft .NET Host - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft .NET Toolset 8.0.413 (x64)","32.11.63773","Microsoft Corporation","20250827"
"Microsoft .NET Runtime - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.76.37362","Microsoft Corporation","20250827"
"Microsoft ASP.NET Core 8.0.19 Shared Framework (x64)","8.0.19.25372","Microsoft Corporation","20250827"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation","20250827"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.76.37362","Microsoft Corporation","20250827"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.5426","Microsoft Corporation","20250827"
"Microsoft .NET AppHost Pack - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft .NET Targeting Pack - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft .NET AppHost Pack - 8.0.19 (x64_x86)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.0.8478","Microsoft Corporation","20250827"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation","20250827"
"Update for x64-based Windows Systems (KB5001716)","8.94.0.0","Microsoft Corporation","20250928"
"Microsoft .NET Host FX Resolver - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft .NET AppHost Pack - 8.0.19 (x64_arm64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250907"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.43","Microsoft Corporation","20250827"
"Microsoft ASP.NET Core 8.0.19 Targeting Pack (x64)","8.0.19.25372","Microsoft Corporation","20250827"
"Microsoft Windows Desktop Targeting Pack - 8.0.19 (x64)","64.76.37602","Microsoft Corporation","20250827"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation","20250827"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20250827"
"Microsoft Windows Desktop Runtime - 8.0.19 (x64)","64.76.37602","Microsoft Corporation","20250827"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.76.37566","Microsoft Corporation","20250827"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.76.37362","Microsoft Corporation","20250827"
